,Country,UNCode,Data_year,Missing_data,Missing_perc
0,Afghanistan,4,2016,11,10
1,Afghanistan,4,2018,11,10
2,Albania,8,2016,5,5
3,Albania,8,2018,5,5
4,Algeria,12,2016,2,2
5,Algeria,12,2018,2,2
6,American Samoa,16,2016,100,94
7,American Samoa,16,2018,100,94
8,Andorra,20,2016,88,83
9,Andorra,20,2018,88,83
10,Angola,24,2016,4,4
11,Angola,24,2018,4,4
12,Antigua and Barbuda,28,2016,87,82
13,Antigua and Barbuda,28,2018,87,82
14,Azerbaijan,31,2016,8,8
15,Azerbaijan,31,2018,8,8
16,Argentina,32,2016,1,1
17,Argentina,32,2018,1,1
18,Australia,36,2016,4,4
19,Australia,36,2018,4,4
20,Austria,40,2016,12,11
21,Austria,40,2018,12,11
22,Bahamas,44,2016,83,78
23,Bahamas,44,2018,83,78
24,Bahrain,48,2016,41,39
25,Bahrain,48,2018,41,39
26,Bangladesh,50,2016,0,0
27,Bangladesh,50,2018,0,0
28,Armenia,51,2016,6,6
29,Armenia,51,2018,6,6
30,Barbados,52,2016,56,53
31,Barbados,52,2018,56,53
32,Belgium,56,2016,7,7
33,Belgium,56,2018,7,7
34,Bermuda,60,2016,100,94
35,Bermuda,60,2018,100,94
36,Bhutan,64,2016,78,74
37,Bhutan,64,2018,78,74
38,Bolivia,68,2016,11,10
39,Bolivia,68,2018,11,10
40,Bosnia and Herzegovina,70,2016,9,8
41,Bosnia and Herzegovina,70,2018,9,8
42,Botswana,72,2016,6,6
43,Botswana,72,2018,6,6
44,Brazil,76,2016,1,1
45,Brazil,76,2018,1,1
46,Belize,84,2016,79,75
47,Belize,84,2018,79,75
48,Solomon Islands,90,2016,82,77
49,Solomon Islands,90,2018,82,77
50,British Virgin Islands,92,2016,102,96
51,British Virgin Islands,92,2018,102,96
52,Brunei Darussalam,96,2016,66,62
53,Brunei Darussalam,96,2018,66,62
54,Bulgaria,100,2016,3,3
55,Bulgaria,100,2018,3,3
56,Myanmar,104,2016,8,8
57,Myanmar,104,2018,8,8
58,Burundi,108,2016,9,8
59,Burundi,108,2018,9,8
60,Belarus,112,2016,10,9
61,Belarus,112,2018,10,9
62,Cambodia,116,2016,1,1
63,Cambodia,116,2018,1,1
