MAE,Model,Features,nmf__alpha,nmf__n_components,nmf__solver,dt__max_depth,dt__min_samples_split,dt__random_state,dt__max_features,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state,alpha,random_state,tol,max_depth,max_features,min_samples_split,n_estimators
0.2272672655393896,NMF->DT (MF),All_features,2.0,6.0,cd,6.0,3.0,45.0,0.3,,,,,,,,,,,,
0.22808811268096985,DT (MF),Theory_features,,,,,,,,,,,,,,14.0,,5.0,0.3,2.0,
0.22819203832018256,NMF->DT (MF),All_features,2.0,6.0,cd,5.0,4.0,6.0,0.5,,,,,,,,,,,,
0.2303174146191629,NMF->DT (MF),All_features,1.0,6.0,cd,4.0,4.0,42.0,0.5,,,,,,,,,,,,
0.2313330387673167,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,2.0,17.0,0.5,,,,,,,,,,,,
0.23171785971964545,NMF->DT (MF),Theory_features,2.0,5.0,cd,4.0,4.0,20.0,0.5,,,,,,,,,,,,
0.2356918848515801,NMF->DT (MF),All_features,2.0,6.0,cd,5.0,2.0,28.0,0.5,,,,,,,,,,,,
0.2360010062827733,NMF->DT (MF),All_features,2.0,6.0,cd,6.0,3.0,38.0,0.5,,,,,,,,,,,,
0.23643509836435345,NMF->DT (MF),All_features,2.0,6.0,cd,5.0,2.0,38.0,0.5,,,,,,,,,,,,
0.2365327631379561,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,50.0,24.0,,,,,,,
0.23712989375529314,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,30.0,24.0,,,,,,,
0.23747645805693324,NMF->DT (MF),All_features,2.0,5.0,cd,5.0,3.0,23.0,0.7,,,,,,,,,,,,
0.23769854859901365,NMF->DT (MF),All_features,1.0,7.0,cd,4.0,4.0,11.0,0.7,,,,,,,,,,,,
0.23793305555393154,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,24.0,,,,,,,
0.2381013777769726,NMF->DT (MF),All_features,2.0,6.0,cd,5.0,4.0,17.0,0.3,,,,,,,,,,,,
0.23835706004236595,NMF->DT (MF),All_features,2.0,5.0,cd,4.0,4.0,50.0,0.5,,,,,,,,,,,,
0.2385806708235169,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,2.0,12.0,0.7,,,,,,,,,,,,
0.2389121106545918,NMF->DT (MF),All_features,2.0,6.0,cd,6.0,4.0,31.0,0.3,,,,,,,,,,,,
0.2392372096062816,NMF->DT (MF),All_features,2.0,6.0,cd,3.0,4.0,30.0,0.7,,,,,,,,,,,,
0.2395679564249943,NMF->DT (MF),Theory_features,2.0,5.0,cd,4.0,3.0,20.0,0.5,,,,,,,,,,,,
0.2400241860380516,DT (MF),Theory_features,,,,,,,,,,,,,,14.0,,5.0,0.3,4.0,
0.24018821025193615,NMF->DT (MF),All_features,1.0,6.0,cd,5.0,2.0,32.0,0.7,,,,,,,,,,,,
0.2401943962495492,NMF->DT (MF),All_features,2.0,6.0,cd,3.0,4.0,49.0,0.5,,,,,,,,,,,,
0.2404098316741708,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,4.0,49.0,0.7,,,,,,,,,,,,
0.2406193787095333,NMF->DT,All_features,2.0,6.0,cd,4.0,3.0,44.0,,,,,,,,,,,,,
0.24069080728096184,NMF->DT,All_features,2.0,6.0,cd,4.0,2.0,44.0,,,,,,,,,,,,,
0.2407565230345529,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.3,2.0,30.0,20.0,,,,,,,
0.241103393190773,NMF->DT (MF),All_features,1.0,6.0,cd,4.0,4.0,9.0,0.7,,,,,,,,,,,,
0.24113639232574305,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,50.0,24.0,,,,,,,
0.24147652156667615,NMF->DT,All_features,2.0,6.0,cd,4.0,3.0,32.0,,,,,,,,,,,,,
0.2415479501381048,NMF->DT,All_features,2.0,6.0,cd,4.0,2.0,32.0,,,,,,,,,,,,,
0.2415841524100105,DT (MF),Theory_features,,,,,,,,,,,,,,25.0,,4.0,0.3,4.0,
0.24183849094731155,NMF->DT (MF),All_features,2.0,6.0,cd,6.0,4.0,38.0,0.5,,,,,,,,,,,,
0.24202292389199584,NMF->DT (MF),All_features,2.0,6.0,cd,3.0,3.0,30.0,0.7,,,,,,,,,,,,
0.2420772441960395,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,50.0,17.0,,,,,,,
0.2422026665167779,NMF->DT (MF),All_features,2.0,6.0,cd,3.0,4.0,12.0,0.7,,,,,,,,,,,,
0.2422300338150227,NMF->DT (MF),All_features,2.0,6.0,cd,5.0,3.0,38.0,0.5,,,,,,,,,,,,
0.2424382818242005,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.5,3.0,30.0,49.0,,,,,,,
0.2425327156736361,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,2.0,16.0,0.5,,,,,,,,,,,,
0.24285130477543865,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.3,2.0,30.0,24.0,,,,,,,
0.2428719407311356,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,30.0,17.0,,,,,,,
0.24289701202744185,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,2.0,30.0,31.0,,,,,,,
0.2429035019795346,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.3,2.0,50.0,24.0,,,,,,,
0.2429801105352635,NMF->DT (MF),All_features,2.0,6.0,cd,3.0,3.0,49.0,0.5,,,,,,,,,,,,
0.24298409879430266,NMF->DT (MF),All_features,2.0,6.0,cd,5.0,4.0,38.0,0.5,,,,,,,,,,,,
0.2430004069099174,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.5,2.0,30.0,49.0,,,,,,,
0.2430222029089593,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,46.0,,,,,,,
0.24303426318671545,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,3.0,17.0,0.5,,,,,,,,,,,,
0.24323762213512665,NMF->DT (MF),All_features,1.0,7.0,cd,4.0,3.0,11.0,0.7,,,,,,,,,,,,
0.24351636794700704,NMF->DT (MF),All_features,1.0,6.0,cd,6.0,4.0,16.0,0.7,,,,,,,,,,,,
0.2437704794446065,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,3.0,30.0,33.0,,,,,,,
0.2438158072809619,NMF->DT,All_features,2.0,6.0,cd,4.0,2.0,14.0,,,,,,,,,,,,,
0.2438781274119332,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.5,3.0,30.0,33.0,,,,,,,
0.2438872358523904,NMF->DT,All_features,2.0,6.0,cd,4.0,3.0,27.0,,,,,,,,,,,,,
0.2438872358523905,NMF->DT,All_features,2.0,6.0,cd,4.0,3.0,42.0,,,,,,,,,,,,,
0.2438872358523905,NMF->DT,All_features,2.0,6.0,cd,4.0,3.0,46.0,,,,,,,,,,,,,
0.2439036108739357,NMF->DT (MF),All_features,1.0,6.0,cd,4.0,4.0,25.0,0.7,,,,,,,,,,,,
0.2439122623098409,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.3,2.0,30.0,18.0,,,,,,,
0.2439582072689216,DT (MF),Theory_features,,,,,,,,,,,,,,14.0,,6.0,0.3,4.0,
0.24395866442381905,NMF->DT,All_features,2.0,6.0,cd,4.0,2.0,29.0,,,,,,,,,,,,,
0.24395866442381905,NMF->DT,All_features,2.0,6.0,cd,4.0,2.0,46.0,,,,,,,,,,,,,
0.2439832851656369,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.5,2.0,30.0,12.0,,,,,,,
0.2440443274302212,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,2.0,50.0,14.0,,,,,,,
0.2441488013775324,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,30.0,46.0,,,,,,,
0.24417377403468565,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,18.0,,,,,,,
0.2442996073643292,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,2.0,50.0,31.0,,,,,,,
0.2443656150398105,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,3.0,30.0,32.0,,,,,,,
0.2444320948892377,DT (MF),Theory_features,,,,,,,,,,,,,,14.0,,5.0,0.3,3.0,
0.24458778685978266,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.3,2.0,30.0,47.0,,,,,,,
0.2446419130707577,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,4.0,30.0,0.5,,,,,,,,,,,,
0.2446946781640136,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,2.0,30.0,46.0,,,,,,,
0.24472639962364226,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.5,2.0,30.0,33.0,,,,,,,
0.2447832933457804,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.5,2.0,50.0,2.0,,,,,,,
0.24486147169555803,NMF->DT (MF),All_features,2.0,6.0,cd,3.0,2.0,25.0,0.3,,,,,,,,,,,,
0.2449107848083412,NMF->DT (MF),All_features,0.5,5.0,cd,5.0,2.0,17.0,0.3,,,,,,,,,,,,
0.24495249372804545,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.5,3.0,50.0,24.0,,,,,,,
0.2449560499390573,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,17.0,,,,,,,
0.2451206893568419,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.5,2.0,30.0,5.0,,,,,,,
0.2451368619076792,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,50.0,47.0,,,,,,,
0.2452880774878792,NMF->DT (MF),All_features,1.0,6.0,cd,5.0,4.0,41.0,0.3,,,,,,,,,,,,
0.2452927390123476,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,2.0,9.0,0.5,,,,,,,,,,,,
0.2452956606462313,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.3,2.0,30.0,18.0,,,,,,,
0.24536160379706154,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,2.0,50.0,31.0,,,,,,,
0.2453724686688286,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,3.0,38.0,0.5,,,,,,,,,,,,
0.24556815411558225,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.3,3.0,50.0,18.0,,,,,,,
0.2455761674817146,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.3,2.0,30.0,43.0,,,,,,,
0.24564124895850406,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,2.0,30.0,49.0,,,,,,,
0.24565758969568646,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.5,3.0,50.0,33.0,,,,,,,
0.2456627355208168,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.3,3.0,50.0,18.0,,,,,,,
0.245751846548852,NMF->DT (MF),All_features,0.5,6.0,cd,4.0,3.0,6.0,0.5,,,,,,,,,,,,
0.24576504876812486,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,2.0,30.0,50.0,,,,,,,
0.2458781534931522,NMF->DT (MF),All_features,2.0,6.0,cd,6.0,3.0,13.0,0.7,,,,,,,,,,,,
0.2459146189323132,NMF->DT (MF),All_features,1.0,6.0,cd,4.0,3.0,3.0,0.7,,,,,,,,,,,,
0.2459177799801173,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.3,3.0,30.0,47.0,,,,,,,
0.24597320022103286,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,3.0,12.0,0.7,,,,,,,,,,,,
0.24598653943017695,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,3.0,50.0,1.0,,,,,,,
0.2460036926983176,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,3.0,30.0,24.0,,,,,,,
0.2460162636655637,NMF->DT (MF),Theory_features,2.0,5.0,cd,6.0,4.0,47.0,0.3,,,,,,,,,,,,
0.2460463083603158,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.3,3.0,30.0,18.0,,,,,,,
0.2460475647138664,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.3,2.0,30.0,9.0,,,,,,,
0.2460989986750619,RF,All_features,,,,,,,,,,,,,,43.0,,4.0,0.3,3.0,50.0
0.2461248543978409,DT (MF),Theory_features,,,,,,,,,,,,,,24.0,,4.0,0.3,3.0,
0.24614167632518436,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,50.0,9.0,,,,,,,
0.2461698706396643,NMF->DT (MF),All_features,1.0,6.0,cd,5.0,4.0,4.0,0.7,,,,,,,,,,,,
0.2462161915459333,NMF->DT (MF),All_features,2.0,7.0,cd,3.0,2.0,41.0,0.3,,,,,,,,,,,,
0.24626494201278465,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,50.0,47.0,,,,,,,
0.2463062524549956,NMF->DT (MF),All_features,2.0,6.0,cd,5.0,2.0,18.0,0.5,,,,,,,,,,,,
0.24632536187626225,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,47.0,,,,,,,
0.2464307279449067,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.5,2.0,50.0,5.0,,,,,,,
0.2464538097602534,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,3.0,30.0,1.0,,,,,,,
0.2464886884028805,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,12.0,,,,,,,
0.2464917755897628,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.3,2.0,50.0,5.0,,,,,,,
0.2464978662520226,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,16.0,,,,,,,
0.2464991274432878,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.3,2.0,30.0,10.0,,,,,,,
0.24651628625414904,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,2.0,30.0,31.0,,,,,,,
0.24653381725150303,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,3.0,30.0,17.0,,,,,,,
0.2465603273273244,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,30.0,2.0,,,,,,,
0.24659219027585505,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,3.0,30.0,43.0,,,,,,,
0.2466100717108251,NMF->DT (MF),All_features,1.0,6.0,cd,4.0,3.0,25.0,0.5,,,,,,,,,,,,
0.24661963275480464,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,37.0,,,,,,,
0.24664165318572315,NMF->DT (MF),All_features,1.0,7.0,cd,5.0,3.0,22.0,0.3,,,,,,,,,,,,
0.2466590377949217,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,3.0,50.0,9.0,,,,,,,
0.24668775952733146,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.3,2.0,50.0,5.0,,,,,,,
0.2466953327521099,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.3,3.0,30.0,40.0,,,,,,,
0.24673858455515546,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,6.0,,,,,,,
0.24673919549826134,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.3,2.0,50.0,18.0,,,,,,,
0.2467523912247521,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,3.0,50.0,6.0,,,,,,,
0.2467703900347565,NMF->DT (MF),All_features,2.0,6.0,cd,3.0,3.0,12.0,0.7,,,,,,,,,,,,
0.24678462014176303,NMF->DT (MF),All_features,2.0,6.0,cd,6.0,2.0,13.0,0.3,,,,,,,,,,,,
0.2467968462260689,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.3,2.0,50.0,18.0,,,,,,,
0.24686171404474705,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,3.0,30.0,24.0,,,,,,,
0.2468906745121838,NMF->DT (MF),All_features,2.0,6.0,cd,3.0,2.0,12.0,0.7,,,,,,,,,,,,
