,max_depth,max_features,min_samples_split,random_state
0.25007639146567723,3,0.3,4,29
0.26089424016733126,3,0.3,4,33
0.26644505359719645,3,0.3,4,37
0.2698692435628899,3,0.3,3,23
0.26981231552851825,3,0.3,4,23
0.26982922631954104,4,0.3,2,4
0.26922039115646257,4,0.3,2,33
0.26427802316730886,4,0.3,2,48
0.25609081632653063,4,0.3,3,48
0.26950788417931276,4,0.5,2,13
0.26602650201106076,5,0.3,3,35
0.2680652855081426,5,0.3,4,29
0.26847038429406855,5,0.3,4,48
0.26305238659566393,6,0.3,2,29
0.26328564768564766,6,0.3,4,29
0.26970300572443434,6,0.5,3,3
