,alpha,random_state,tol
0.26787680460921276,0.001,12,0.1
0.2688741282877312,0.001,21,0.1
0.2699720552879258,0.001,21,1.0
0.25883333271868797,0.001,24,0.1
0.26345424451511545,0.001,33,0.1
0.2698271704208895,0.001,34,0.1
0.26990066247521094,0.001,34,1.0
0.24846055221349397,0.001,38,0.1
0.26126053383915393,0.001,39,0.1
0.26853822248782583,0.001,40,0.1
0.26531945137547136,0.001,44,0.1
0.26809159031550295,0.001,48,0.1
0.26386001006135146,0.01,1,0.0001
0.263753283346178,0.01,1,0.001
0.26457418890891843,0.01,1,0.01
0.2638633054819569,0.01,2,0.0001
0.2635875462101028,0.01,2,0.001
0.26380474425683587,0.01,2,0.01
0.26411421395636037,0.01,2,0.1
0.26386562822582565,0.01,3,0.0001
0.2636934882337635,0.01,3,0.001
0.2641250991771682,0.01,3,0.01
0.2638736498983668,0.01,4,0.0001
0.263917989305269,0.01,4,0.001
0.2635469901665681,0.01,4,0.01
0.2681174076895125,0.01,4,0.1
0.2638805023699029,0.01,5,0.0001
0.2638627008683742,0.01,5,0.001
0.2635391770885879,0.01,5,0.01
0.2666234976062477,0.01,5,0.1
0.26394030303993576,0.01,6,0.0001
0.2640046416526287,0.01,6,0.001
0.264949081183699,0.01,6,0.01
0.2690643685039296,0.01,6,0.1
0.26386818894434433,0.01,7,0.0001
0.2637078041690375,0.01,7,0.001
0.26283518145507034,0.01,7,0.01
0.2554693976850073,0.01,7,0.1
0.26521843705840026,0.01,7,1.0
0.26389660144340427,0.01,8,0.0001
0.2636969535495521,0.01,8,0.001
0.26375139857889013,0.01,8,0.01
0.265004547690043,0.01,8,0.1
0.26386898347017185,0.01,9,0.0001
0.26381561839094986,0.01,9,0.001
0.26486826569301536,0.01,9,0.01
0.2638522765972317,0.01,10,0.0001
0.26350237535841176,0.01,10,0.001
0.26348799403575396,0.01,10,0.01
0.2648536956817716,0.01,10,0.1
0.26389304527342644,0.01,11,0.0001
0.2637527599156877,0.01,11,0.001
0.2631231211800935,0.01,11,0.01
0.2638602955933552,0.01,12,0.0001
0.26382679247357654,0.01,12,0.001
0.26259354357329023,0.01,12,0.01
0.2612599615855952,0.01,12,0.1
0.26828250948719906,0.01,12,1.0
0.2638888750616439,0.01,13,0.0001
0.2637929007268996,0.01,13,0.001
0.26288107790872794,0.01,13,0.01
0.2667467263915221,0.01,13,0.1
0.2639133932482485,0.01,14,0.0001
0.2639090714539212,0.01,14,0.001
0.26435703823211354,0.01,14,0.01
0.2638671759007573,0.01,15,0.0001
0.2637481534231509,0.01,15,0.001
0.26357406106432113,0.01,15,0.01
0.2686762467916867,0.01,15,0.1
0.2638930539300454,0.01,16,0.0001
0.26371451694788095,0.01,16,0.001
0.26322696197111267,0.01,16,0.01
0.253668140165376,0.01,16,1.0
0.2638788565799443,0.01,17,0.0001
0.2636375196487253,0.01,17,0.001
0.26425612623112077,0.01,17,0.01
0.26388883683275416,0.01,18,0.0001
0.2637555032257877,0.01,18,0.001
0.2633552629074384,0.01,18,0.01
0.263019127233089,0.01,18,0.1
0.2642660115626057,0.01,18,1.0
0.26387359750503764,0.01,19,0.0001
0.2635028418865973,0.01,19,0.001
0.2639193964656368,0.01,19,0.01
0.26427350973796077,0.01,19,0.1
0.2638602373465642,0.01,20,0.0001
0.26375152530167023,0.01,20,0.001
0.26482275498732205,0.01,20,0.01
0.2638705243743494,0.01,21,0.0001
0.2635590942713448,0.01,21,0.001
0.2638968766166557,0.01,21,0.01
0.2686344075888964,0.01,21,0.1
0.2638121439997439,0.01,22,0.0001
0.26369907465316844,0.01,22,0.001
0.26406538122159157,0.01,22,0.01
