,dt__max_depth,dt__max_features,dt__min_samples_split,dt__random_state,nmf__alpha,nmf__n_components,nmf__solver
0.2689888466109076,3,0.3,2,2,2.0,6,cd
0.2575557749132707,3,0.3,2,12,2.0,6,cd
0.25979095858516515,3,0.3,4,15,1.0,5,cd
0.2699759661223486,3,0.3,3,15,2.0,5,cd
0.26776448000656583,3,0.3,4,17,1.0,5,cd
0.26652580549669097,3,0.3,2,23,0.5,7,cd
0.244861471695558,3,0.3,2,25,2.0,6,cd
0.2679396841687762,3,0.3,2,35,0.5,7,cd
0.24621619154593327,3,0.3,2,41,2.0,7,cd
0.2636609940676077,3,0.3,2,42,1.0,7,cd
0.2603469363528556,3,0.3,2,42,2.0,7,cd
0.25732450921565786,3,0.3,2,47,2.0,7,cd
0.26515694002618595,3,0.3,4,48,2.0,6,cd
0.26987466792160925,3,0.3,4,2,2.0,6,cd
0.26229863205612786,3,0.3,3,12,2.0,6,cd
0.2679785673281802,3,0.3,4,17,2.0,6,cd
0.2694912143508497,3,0.3,4,21,2.0,5,cd
0.26822580549669095,3,0.3,3,23,0.5,7,cd
0.2655438949849061,3,0.3,3,25,1.0,6,cd
0.25231283264002363,3,0.3,4,25,2.0,6,cd
0.2623470449019746,3,0.3,3,34,2.0,7,cd
0.24714476297450466,3,0.3,3,41,2.0,7,cd
0.2685291940185988,3,0.3,3,42,0.5,7,cd
0.2608177937244074,3,0.3,3,42,1.0,7,cd
0.26046497035526384,3,0.3,3,42,2.0,7,cd
0.26118165207280075,3,0.3,3,47,2.0,7,cd
0.2693899940743529,3,0.3,4,3,2.0,7,cd
0.26331998329027073,3,0.3,4,9,0.5,7,cd
0.26940453755092,3,0.3,4,15,2.0,5,cd
0.265897802701839,3,0.3,4,25,1.0,6,cd
0.24737976081979665,3,0.3,4,41,2.0,7,cd
0.26835278492851433,3,0.3,4,42,0.5,7,cd
0.26923037506630465,3,0.3,4,42,1.0,7,cd
0.25591735130764476,3,0.3,4,42,2.0,7,cd
0.264958276451139,3,0.3,4,44,1.0,7,cd
0.2631979427996178,3,0.3,4,47,2.0,7,cd
0.26894997341446947,3,0.3,4,49,0.5,5,cd
0.2618608811170913,3,0.5,2,3,0.5,6,cd
0.26816111232040185,3,0.5,4,3,1.0,5,cd
0.2652994981573554,3,0.5,3,3,2.0,5,cd
0.2610170960938092,3,0.5,3,4,2.0,6,cd
0.269886744395131,3,0.5,2,5,1.0,6,cd
0.25673936681525683,3,0.5,2,5,2.0,6,cd
0.2664892507857859,3,0.5,2,7,0.5,7,cd
