,max_depth,max_features,min_samples_split,random_state
0.2651197880928757,3,0.3,4,16
0.25929611952988785,3,0.5,4,22
0.26006640231850325,3,0.7,4,47
0.25718611575206407,4,0.3,2,25
0.26705083230261806,4,0.3,2,40
0.26398797677659236,4,0.3,2,47
0.2673376041442218,4,0.3,2,48
0.24612485439784088,4,0.3,3,24
0.26685278241873067,4,0.3,3,25
0.2634996786943215,4,0.3,3,40
0.2655883522483415,4,0.3,3,48
0.26121870748299314,4,0.3,4,14
0.26797018283285856,4,0.3,4,16
0.24740716732301093,4,0.3,4,24
0.2415841524100105,4,0.3,4,25
0.2606756009863153,4,0.3,4,40
0.264214888391254,4,0.3,4,48
0.2590101774042951,4,0.7,2,47
0.2642774670707444,5,0.3,2,9
0.22808811268096982,5,0.3,2,14
0.2666148472559187,5,0.3,2,40
0.2655252772499013,5,0.3,2,48
0.2444320948892377,5,0.3,3,14
0.24002418603805162,5,0.3,4,14
0.26926622136033895,5,0.5,2,34
0.2668522108843537,5,0.5,2,41
0.26424904181768405,6,0.3,2,5
0.2660753132832081,6,0.3,2,24
0.2609565226790016,6,0.3,2,28
0.25906319194344396,6,0.3,2,31
0.26806217671217675,6,0.3,3,40
0.26573986965415536,6,0.3,4,6
0.24395820726892156,6,0.3,4,14
