,alpha,random_state,tol
0.2687994222469699,0.0001,2,1.0
0.26782206441662704,0.0001,7,1.0
0.2653245382414407,0.001,2,1.0
0.26687032756926016,0.001,7,1.0
0.26625424574212947,0.01,1,0.0001
0.26639323779875584,0.01,1,0.001
0.26771318223454676,0.01,1,0.01
0.2668087593089308,0.01,1,0.1
0.2662525095634265,0.01,2,0.0001
0.26601756715866803,0.01,2,0.001
0.26593566365031546,0.01,2,0.01
0.2682106052996001,0.01,2,1.0
0.26627613247526893,0.01,3,0.0001
0.2663971088686404,0.01,3,0.001
0.2664827175286922,0.01,3,0.01
0.26902628007423074,0.01,3,0.1
0.26787363839402123,0.01,3,1.0
0.2663121429467204,0.01,4,0.0001
0.2666602926395932,0.01,4,0.001
0.2668847820870637,0.01,4,0.01
0.26532164106931916,0.01,4,0.1
0.26627895433983345,0.01,5,0.0001
0.26607135210864524,0.01,5,0.001
0.2656145395655465,0.01,5,0.01
0.2689509581124284,0.01,5,0.1
0.26778445447540006,0.01,5,1.0
0.2662480508288734,0.01,6,0.0001
0.2661472884277914,0.01,6,0.001
0.2628494785118087,0.01,6,0.01
0.26160320934385256,0.01,6,0.1
0.25681956192183353,0.01,6,1.0
0.2662427571470539,0.01,7,0.0001
0.26658640886493135,0.01,7,0.001
0.2679149920574731,0.01,7,0.01
0.26903024739416037,0.01,7,0.1
0.2662624920934376,0.01,8,0.0001
0.265920554162226,0.01,8,0.001
0.2647167082854582,0.01,8,0.01
0.26816420196845525,0.01,8,0.1
0.26620265123101106,0.01,9,0.0001
0.2657074364636687,0.01,9,0.001
0.263376252640563,0.01,9,0.01
0.26167619949709947,0.01,9,0.1
0.25150012896009777,0.01,9,1.0
0.26627405025754924,0.01,10,0.0001
0.2661392792941609,0.01,10,0.001
0.2659534331266374,0.01,10,0.01
0.2662529320396745,0.01,11,0.0001
0.2661628136677056,0.01,11,0.001
0.2660593135112528,0.01,11,0.01
0.26526658319002144,0.01,11,0.1
0.2663325920003926,0.01,12,0.0001
0.2666811148521925,0.01,12,0.001
0.26740676737792,0.01,12,0.01
0.2662582591398965,0.01,13,0.0001
0.26609469843895145,0.01,13,0.001
0.2659577535788449,0.01,13,0.01
0.26623682413675537,0.01,14,0.0001
0.26608023975406386,0.01,14,0.001
0.2648362839157819,0.01,14,0.01
0.26645646540287693,0.01,14,0.1
0.2662943501216017,0.01,15,0.0001
0.26614417038117116,0.01,15,0.001
0.26461780542311786,0.01,15,0.01
0.24826861399202074,0.01,15,0.1
0.24925145881055424,0.01,15,1.0
0.266287396351855,0.01,16,0.0001
0.26626079769513183,0.01,16,0.001
0.266919841416532,0.01,16,0.01
0.26629733950265116,0.01,17,0.0001
0.26639282091350575,0.01,17,0.001
0.2666005658569312,0.01,17,0.01
0.2698770840459259,0.01,17,0.1
0.2662738298681454,0.01,18,0.0001
0.2664986166418893,0.01,18,0.001
0.26733989570985867,0.01,18,0.01
0.26629902668140565,0.01,19,0.0001
0.26654897270272593,0.01,19,0.001
0.2667157825569635,0.01,19,0.01
0.2662522243453564,0.01,20,0.0001
0.2662324904435238,0.01,20,0.001
0.2661221270609458,0.01,20,0.01
0.26625750403725695,0.01,21,0.0001
0.26621523030583943,0.01,21,0.001
0.26557730715007677,0.01,21,0.01
0.2676641230693166,0.01,21,0.1
0.2662775164147637,0.01,22,0.0001
0.266192762672793,0.01,22,0.001
0.26664688865449937,0.01,22,0.01
0.26626978958253333,0.01,23,0.0001
0.26619559231814705,0.01,23,0.001
0.2656491784623712,0.01,23,0.01
0.2690830570150769,0.01,23,0.1
0.2662638458694128,0.01,24,0.0001
0.265978040186338,0.01,24,0.001
0.2643132589362129,0.01,24,0.01
