,nmf__alpha,nmf__n_components,nmf__solver,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state
0.26230836067330354,1,6,cd,4,0.3,2,30,6
0.26929604642287636,1,6,cd,4,0.3,2,30,7
0.26734817721578935,1,6,cd,4,0.3,2,30,10
0.26875396570644094,1,6,cd,4,0.3,2,30,14
0.2684333274246526,1,6,cd,4,0.3,2,30,16
0.2667585266663527,1,6,cd,4,0.3,2,30,26
0.26328909349080876,1,6,cd,4,0.3,2,30,28
0.2657456799659234,1,6,cd,4,0.3,2,30,29
0.2664127311801873,1,6,cd,4,0.3,2,30,32
0.2680900143099695,1,6,cd,4,0.3,2,30,33
0.26963395789451955,1,6,cd,4,0.3,2,30,40
0.26044013924915316,1,6,cd,4,0.3,2,30,42
0.2682208478335912,1,6,cd,4,0.3,2,50,4
0.26871775265148606,1,6,cd,4,0.3,2,50,6
0.26570299396413016,1,6,cd,4,0.3,2,50,10
0.2681665195295545,1,6,cd,4,0.3,2,50,14
0.2687360025100283,1,6,cd,4,0.3,2,50,26
0.26379485884589055,1,6,cd,4,0.3,2,50,28
0.26928862819005844,1,6,cd,4,0.3,2,50,31
0.26198001416495703,1,6,cd,4,0.3,2,50,32
0.2681476748410231,1,6,cd,4,0.3,2,50,33
0.26571873780472083,1,6,cd,4,0.3,2,50,42
0.26749273852920474,1,6,cd,4,0.3,3,30,4
0.26553059364719495,1,6,cd,4,0.3,3,30,6
0.26970270238982147,1,6,cd,4,0.3,3,30,14
0.2681457525651454,1,6,cd,4,0.3,3,30,22
0.2580976979438409,1,6,cd,4,0.3,3,30,28
0.26555207408635,1,6,cd,4,0.3,3,30,33
0.2690708710461379,1,6,cd,4,0.3,3,30,40
0.26777941120901183,1,6,cd,4,0.3,3,30,42
0.26559095535663463,1,6,cd,4,0.3,3,30,49
0.26981431695032837,1,6,cd,4,0.3,3,50,5
0.26992382668692994,1,6,cd,4,0.3,3,50,10
0.26726597649084777,1,6,cd,4,0.3,3,50,14
0.26960540497456376,1,6,cd,4,0.3,3,50,20
0.26760041095764137,1,6,cd,4,0.3,3,50,22
0.2596086379557421,1,6,cd,4,0.3,3,50,28
0.26883498079253354,1,6,cd,4,0.3,3,50,31
0.2659190903813829,1,6,cd,4,0.3,3,50,32
0.2655549156089073,1,6,cd,4,0.3,3,50,33
0.2699121039670226,1,6,cd,4,0.3,3,50,42
0.2695399307170767,1,6,cd,4,0.3,3,50,49
0.26091834057565777,1,6,cd,4,0.5,2,30,6
0.2685216343051388,1,6,cd,4,0.5,2,30,9
0.2686933954525633,1,6,cd,4,0.5,2,30,32
0.2683653322721066,1,6,cd,4,0.5,2,50,6
0.2683034979450932,1,6,cd,4,0.5,2,50,9
0.26966706935905366,1,6,cd,4,0.5,2,50,31
0.2658191467281068,1,6,cd,4,0.5,2,50,32
0.25628380052207367,1,6,cd,4,0.5,3,30,6
0.268629173516171,1,6,cd,4,0.5,3,30,32
0.26776474786705223,1,6,cd,4,0.5,3,30,34
0.26524546617335104,1,6,cd,4,0.5,3,50,6
0.26524196592470883,1,6,cd,4,0.5,3,50,32
0.2684346415449615,1,6,cd,4,0.5,3,50,34
0.26823306943978115,1,6,cd,5,0.3,2,30,2
0.25397791029310934,1,6,cd,5,0.3,2,30,6
0.2669669173669744,1,6,cd,5,0.3,2,30,7
0.2620313450399768,1,6,cd,5,0.3,2,30,10
0.2641522283699625,1,6,cd,5,0.3,2,30,12
0.2677447261927998,1,6,cd,5,0.3,2,30,15
0.26330280353026553,1,6,cd,5,0.3,2,30,17
0.26935293847007896,1,6,cd,5,0.3,2,30,24
0.2662597750177373,1,6,cd,5,0.3,2,30,26
0.2652701078201117,1,6,cd,5,0.3,2,30,28
0.2633472809916468,1,6,cd,5,0.3,2,30,29
0.2687374522543177,1,6,cd,5,0.3,2,30,30
0.26002382680900776,1,6,cd,5,0.3,2,30,32
0.25812599169329736,1,6,cd,5,0.3,2,30,33
0.26698905044987764,1,6,cd,5,0.3,2,30,36
0.2692029573981125,1,6,cd,5,0.3,2,30,37
0.26718269072841017,1,6,cd,5,0.3,2,30,42
0.26896033087092236,1,6,cd,5,0.3,2,30,44
0.2632670544433065,1,6,cd,5,0.3,2,30,49
0.26937923357742327,1,6,cd,5,0.3,2,30,50
0.2681810043709941,1,6,cd,5,0.3,2,50,2
0.2632923595634617,1,6,cd,5,0.3,2,50,6
0.2639656511104104,1,6,cd,5,0.3,2,50,7
0.2626101469519371,1,6,cd,5,0.3,2,50,10
0.2670960371768498,1,6,cd,5,0.3,2,50,12
0.2662110726193515,1,6,cd,5,0.3,2,50,14
0.26741938510703595,1,6,cd,5,0.3,2,50,15
0.2636176244724422,1,6,cd,5,0.3,2,50,17
0.26711379193278806,1,6,cd,5,0.3,2,50,22
0.26973613796870816,1,6,cd,5,0.3,2,50,24
0.26278592180721894,1,6,cd,5,0.3,2,50,26
0.2636676151706777,1,6,cd,5,0.3,2,50,28
0.2608822278267953,1,6,cd,5,0.3,2,50,30
0.2662043371586586,1,6,cd,5,0.3,2,50,31
0.25883364579758317,1,6,cd,5,0.3,2,50,32
0.26533280507959484,1,6,cd,5,0.3,2,50,33
0.2670803131489229,1,6,cd,5,0.3,2,50,34
0.26968135368875384,1,6,cd,5,0.3,2,50,36
0.2665165975585202,1,6,cd,5,0.3,2,50,37
0.26834259141682887,1,6,cd,5,0.3,2,50,42
0.2628633253508648,1,6,cd,5,0.3,2,50,44
0.26651263187647495,1,6,cd,5,0.3,3,30,1
0.2643898825173287,1,6,cd,5,0.3,3,30,6
0.2650345526380918,1,6,cd,5,0.3,3,30,7
0.2625614710392741,1,6,cd,5,0.3,3,30,15
0.2639163333857636,1,6,cd,5,0.3,3,30,16
0.2699731355422354,1,6,cd,5,0.3,3,30,24
0.267523556349101,1,6,cd,5,0.3,3,30,26
0.2638769126079761,1,6,cd,5,0.3,3,30,28
0.2637797214626423,1,6,cd,5,0.3,3,30,29
0.26082922735284225,1,6,cd,5,0.3,3,30,31
0.25864718643656787,1,6,cd,5,0.3,3,30,32
0.2627228802749703,1,6,cd,5,0.3,3,30,33
0.2631147920353561,1,6,cd,5,0.3,3,30,40
0.26710453795942285,1,6,cd,5,0.3,3,30,42
0.269498785231421,1,6,cd,5,0.3,3,30,43
0.26628678619621526,1,6,cd,5,0.3,3,30,44
0.26867592847166333,1,6,cd,5,0.3,3,30,46
0.26571848616885824,1,6,cd,5,0.3,3,30,48
0.2620606531674486,1,6,cd,5,0.3,3,30,49
0.26983849900280477,1,6,cd,5,0.3,3,50,1
0.2650566222526166,1,6,cd,5,0.3,3,50,6
0.2649074543360258,1,6,cd,5,0.3,3,50,7
0.26905905553983145,1,6,cd,5,0.3,3,50,10
0.2688356473635432,1,6,cd,5,0.3,3,50,13
0.26409265330397175,1,6,cd,5,0.3,3,50,15
0.2692892366547343,1,6,cd,5,0.3,3,50,16
0.2678065737123929,1,6,cd,5,0.3,3,50,17
0.26539813971384074,1,6,cd,5,0.3,3,50,22
0.26787912668277736,1,6,cd,5,0.3,3,50,26
0.26176975051500767,1,6,cd,5,0.3,3,50,28
0.26433151528956084,1,6,cd,5,0.3,3,50,30
0.25512930309158355,1,6,cd,5,0.3,3,50,31
0.25410735733884277,1,6,cd,5,0.3,3,50,32
0.2628114454263764,1,6,cd,5,0.3,3,50,33
0.26971649529403807,1,6,cd,5,0.3,3,50,36
0.2689770862309711,1,6,cd,5,0.3,3,50,37
0.2680670799553109,1,6,cd,5,0.3,3,50,42
0.26806428467783555,1,6,cd,5,0.3,3,50,43
0.26130721333254114,1,6,cd,5,0.3,3,50,44
0.2651682518885125,1,6,cd,5,0.3,3,50,46
0.2668364144967284,1,6,cd,5,0.3,3,50,47
0.2699758058718098,1,6,cd,5,0.3,3,50,49
0.2678297210766257,1,6,cd,5,0.5,2,30,12
0.25939612224220154,1,6,cd,5,0.5,2,30,15
0.2592846056661721,1,6,cd,5,0.5,2,30,32
0.26413576471421224,1,6,cd,5,0.5,2,30,34
0.26877553477081767,1,6,cd,5,0.5,2,50,24
0.2639221293321373,1,6,cd,5,0.5,2,50,32
0.2673111126021069,1,6,cd,5,0.5,2,50,34
0.26919660947663687,1,6,cd,5,0.5,2,50,49
0.26655875159487186,1,6,cd,5,0.5,3,30,6
0.26666751110841597,1,6,cd,5,0.5,3,30,15
0.26721851831725985,1,6,cd,5,0.5,3,30,24
0.2689091824831824,1,6,cd,5,0.5,3,30,34
0.26901718349385567,1,6,cd,5,0.5,3,50,24
0.26392987456025513,1,6,cd,5,0.5,3,50,32
0.2685272567225946,1,6,cd,5,0.5,3,50,34
0.26910208172005423,1,7,cd,4,0.3,2,30,5
0.2682300894467605,1,7,cd,4,0.3,2,30,27
0.26894473774616484,1,7,cd,4,0.3,2,30,35
0.26925531375986633,1,7,cd,4,0.3,2,50,5
0.26150140268193434,1,7,cd,4,0.3,2,50,9
0.2671391610079707,1,7,cd,4,0.3,2,50,26
0.26871655352153745,1,7,cd,4,0.3,2,50,35
0.2683720168879202,1,7,cd,4,0.3,3,30,5
0.26928198104391077,1,7,cd,4,0.3,3,30,24
0.2691927372221001,1,7,cd,4,0.3,3,30,35
0.26862770814017456,1,7,cd,4,0.3,3,30,38
0.26740259502208413,1,7,cd,4,0.3,3,50,5
0.266630384236807,1,7,cd,4,0.3,3,50,9
0.26724382714920863,1,7,cd,4,0.3,3,50,24
0.2696098910545599,1,7,cd,4,0.3,3,50,31
0.26334498951209895,1,7,cd,4,0.5,2,30,6
0.2697823236175261,1,7,cd,4,0.5,2,30,7
0.267319034053646,1,7,cd,4,0.5,2,30,33
0.26966803262923345,1,7,cd,4,0.5,2,50,33
0.26615391504521063,1,7,cd,4,0.5,3,30,6
0.2690159688847022,1,7,cd,4,0.5,3,30,31
0.2669248481050859,1,7,cd,4,0.5,3,30,33
0.2680920458991296,1,7,cd,4,0.5,3,50,33
0.25666501662277513,1,7,cd,5,0.3,2,30,5
0.26671524664824753,1,7,cd,5,0.3,2,30,7
0.264192233205864,1,7,cd,5,0.3,2,30,12
0.26962092791128356,1,7,cd,5,0.3,2,30,26
0.2697190104801113,1,7,cd,5,0.3,2,30,33
0.2663463522320165,1,7,cd,5,0.3,2,30,35
0.2692354136038198,1,7,cd,5,0.3,2,30,38
0.2623073672204914,1,7,cd,5,0.3,2,50,5
0.2687845194490334,1,7,cd,5,0.3,2,50,9
0.2666536399947817,1,7,cd,5,0.3,2,50,12
0.268947312758199,1,7,cd,5,0.3,2,50,14
0.266378210173207,1,7,cd,5,0.3,2,50,26
0.2683435866882864,1,7,cd,5,0.3,2,50,31
0.26850932990519794,1,7,cd,5,0.3,2,50,32
0.26486762529043134,1,7,cd,5,0.3,2,50,35
0.25741722336458767,1,7,cd,5,0.3,3,30,5
0.26933712382884245,1,7,cd,5,0.3,3,30,7
0.26887126989125687,1,7,cd,5,0.3,3,30,14
0.2636631388899138,1,7,cd,5,0.3,3,30,26
0.26971615227317397,1,7,cd,5,0.3,3,30,31
0.26645826349469,1,7,cd,5,0.3,3,30,35
0.2686221762451316,1,7,cd,5,0.3,3,30,45
0.2691570518395242,1,7,cd,5,0.3,3,50,2
0.2595858539468747,1,7,cd,5,0.3,3,50,5
0.26394609065833163,1,7,cd,5,0.3,3,50,9
0.26955532091562884,1,7,cd,5,0.3,3,50,14
0.2646050483730139,1,7,cd,5,0.3,3,50,26
0.26765342297819017,1,7,cd,5,0.3,3,50,31
0.2657817458453814,1,7,cd,5,0.3,3,50,35
0.2670177926632065,1,7,cd,5,0.5,2,30,6
0.2676005220762698,1,7,cd,5,0.5,2,30,33
0.2663386055336192,1,7,cd,5,0.5,3,30,6
0.26965050744656477,1,7,cd,5,0.5,3,30,12
0.2680606718973504,1,7,cd,5,0.5,3,30,33
0.26999305885226743,1,7,cd,5,0.5,3,30,43
0.2678312509032264,2,5,cd,4,0.3,2,30,7
0.2628765728670752,2,5,cd,4,0.3,2,30,31
0.2634683361418762,2,5,cd,4,0.3,2,50,31
0.26883030534188446,2,5,cd,4,0.3,2,50,32
0.26529502484387013,2,5,cd,4,0.3,3,30,31
0.2667127632136521,2,5,cd,4,0.3,3,30,37
0.26963722018467934,2,5,cd,4,0.3,3,50,10
0.2651680824080895,2,5,cd,4,0.3,3,50,31
0.26923012952749015,2,5,cd,4,0.3,3,50,35
0.2696220273971712,2,5,cd,4,0.5,2,50,22
0.2661663833670492,2,5,cd,4,0.5,3,30,6
0.2699861239340094,2,5,cd,4,0.5,3,30,9
0.2694100251698294,2,5,cd,4,0.5,3,30,24
0.26621369642654213,2,5,cd,4,0.5,3,30,33
0.2682908618225671,2,5,cd,5,0.3,2,30,6
0.26815599731997075,2,5,cd,5,0.3,2,30,17
0.26799803544105966,2,5,cd,5,0.3,2,30,24
0.2658834336738189,2,5,cd,5,0.3,2,30,31
0.2683779011452312,2,5,cd,5,0.3,2,30,40
0.266519417311274,2,5,cd,5,0.3,2,30,45
0.26972236295826385,2,5,cd,5,0.3,2,30,46
0.2683644934155036,2,5,cd,5,0.3,2,50,5
0.269140281894225,2,5,cd,5,0.3,2,50,20
0.26736148232596463,2,5,cd,5,0.3,2,50,24
0.26253712211370683,2,5,cd,5,0.3,2,50,31
0.26827213982745385,2,5,cd,5,0.3,2,50,40
0.26977704956363724,2,5,cd,5,0.3,2,50,45
0.26703916843539544,2,5,cd,5,0.3,3,30,1
0.2680094117735472,2,5,cd,5,0.3,3,30,3
0.2696929802760435,2,5,cd,5,0.3,3,30,6
0.26415538134152033,2,5,cd,5,0.3,3,30,18
0.26726472890550157,2,5,cd,5,0.3,3,50,1
0.2683982987676527,2,5,cd,5,0.3,3,50,3
0.2670483770286672,2,5,cd,5,0.3,3,50,31
0.26859932197177755,2,5,cd,5,0.3,3,50,32
0.2693119917915892,2,5,cd,5,0.3,3,50,35
0.26898067012387405,2,5,cd,5,0.3,3,50,36
0.26838163271650045,2,5,cd,5,0.3,3,50,37
0.2668313084357239,2,5,cd,5,0.5,2,30,6
0.26933406565632473,2,5,cd,5,0.5,3,30,6
0.26561850030525713,2,5,cd,5,0.5,3,30,31
0.26898618665476187,2,5,cd,5,0.5,3,30,50
0.2660727630465269,2,5,cd,5,0.5,3,50,31
0.26994282607132075,2,5,cd,5,0.5,3,50,50
0.26913012321216956,2,6,cd,4,0.3,2,30,7
0.2678390375791214,2,6,cd,4,0.3,2,30,15
0.26919598885990315,2,6,cd,4,0.3,2,30,21
0.26503555991831906,2,6,cd,4,0.3,2,30,33
0.26834305640458583,2,6,cd,4,0.3,2,30,46
